INFO 2024-07-21 15:35:21,665 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-21 15:35:21,665 autoreload Waiting for apps ready_event.
DEBUG 2024-07-21 15:35:21,813 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-21 15:35:21,821 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/allauth/templates with glob **/*.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/Desktop/worklog/backend/worklog/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/allauth/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/allauth/account/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/allauth/socialaccount/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/dj_rest_auth/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/dj_rest_auth/registration/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,822 autoreload Watching dir /Users/0heon_j/Desktop/worklog/backend/worklog/profiles/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,823 autoreload Watching dir /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/storages/locale with glob **/*.mo.
DEBUG 2024-07-21 15:35:21,860 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-07-21 15:35:21,862 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/__init__.py first seen with mtime 1712650154.0
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework/renderers.py first seen with mtime 1720675213.2874165
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/contrib/admindocs/views.py first seen with mtime 1720675212.3545725
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework/checks.py first seen with mtime 1720675213.284765
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/core/cache/backends/base.py first seen with mtime 1720675212.641216
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/dateutil/__init__.py first seen with mtime 1721469353.3928485
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/botocore/vendored/requests/__init__.py first seen with mtime 1721469353.644843
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/core/exceptions.py first seen with mtime 1720675212.6402562
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_multibytecodec.cpython-312-darwin.so first seen with mtime 1716807405.4059477
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/allauth/account/internal/flows/login.py first seen with mtime 1720675213.3954616
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/openai/datalib/common.py first seen with mtime 1721216750.632277
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py first seen with mtime 1712650154.0
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework/schemas/__init__.py first seen with mtime 1720675213.305238
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/charset_normalizer/models.py first seen with mtime 1720675212.1765797
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/urllib3/util/proxy.py first seen with mtime 1720675212.0704532
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/allauth/socialaccount/templatetags/socialaccount.py first seen with mtime 1720675213.4843745
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/boto3/resources/__init__.py first seen with mtime 1721469353.7829988
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/botocore/model.py first seen with mtime 1721469353.4457145
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/sqlparse/utils.py first seen with mtime 1720675212.1079013
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/botocore/docs/docstring.py first seen with mtime 1721469353.6417048
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/aiohttp/http.py first seen with mtime 1721216750.5283601
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/core/cache/__init__.py first seen with mtime 1720675212.6409333
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/__init__.py first seen with mtime 1712650154.0
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/zipfile/_path/glob.py first seen with mtime 1712650154.0
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/urllib3/filepost.py first seen with mtime 1720675212.068631
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_heapq.cpython-312-darwin.so first seen with mtime 1716807405.213446
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/db/migrations/migration.py first seen with mtime 1720675212.6614754
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/core/mail/message.py first seen with mtime 1720675212.6468503
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/contrib/sites/admin.py first seen with mtime 1720675212.6154945
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1720675212.6391785
DEBUG 2024-07-21 15:35:21,894 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/_header_value_parser.py first seen with mtime 1712650154.0
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/botocore/docs/example.py first seen with mtime 1721469353.6417964
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1720675213.810815
DEBUG 2024-07-21 15:35:21,894 autoreload File /Users/0heon_j/.local/share/virtualenvs/backend-KeUvB0iy/lib/python3.12/site-packages/jmespath/functions.py first seen with mtime 1721469353.3822005
